Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Almeja cruda mediana sin concha,4,pieza,58,58,43,7.4,0.6,1.5,0,52.2,0,0,8.1,0,26.6,14.1,0,32.8,19.8,0,0,0,0,0,0,AOAMBG
Almeja fresca sin concha,4,pieza,58,58,43,7.4,0.6,1.5,0,52.2,0,0,8.1,0,26.6,14.1,0,32.8,19.8,0,0,0,0,0,0,AOAMBG
Aguacate California, 1/3,pieza,58,31,54,0.7,5.3,2.1,0,0,0,0,0,0,0,0,0,3.7,0,0.8,3.4,0.6,0,0,0,Aceites y grasas
Aguacate hass, 1/3,pieza,58,31,54,0.7,5.3,2.1,0,0,0,0,0,0,0,0,0,3.7,0,0.8,3.4,0.6,0,0,0,Aceites y grasas
Aguacate mediano, 1/3,pieza,58,31,44,0.5,4.1,2.3,0,0,0,0,0,0,0,0,0,1.2,0,0.7,2.7,0.6,0,0,0,Aceites y grasas
Ciruela pasa deshuesada,7,pieza,56,56,60,0.5,0.1,15.7,1.7,140,0,0,0.4,0,0,0,0,0,0,0,0,0,14,29,4.553,Frutas
Alón de pollo sin piel,1,pieza,55,29,37,6.4,1,0,0,5.2,0,0,0.3,0,3.8,5.2,0,23.6,16.6,0,0,0,0,0,0,AOAMBG
Huevo de codorniz fresco,6,pieza,54,50,78,6.5,5.5,0.2,0,77,0,0,1.8,0,31.8,15.9,0,70,419.5,0,0,0,0,0,0,AOAMG
Huevo pochado,1,pieza,50,50,71,6.3,5,0.4,0,69.5,0,0,0.9,0,26.5,15.8,0,147,211,0,0,0,0,0,0,AOAMG
Huevo blanco cocido,1,pieza,50,44,68,5.5,4.7,0.5,0,73.9,0,0,0.5,0,22,13.6,0,54.6,186.6,0,0,0,0,0,0,AOAMG
Huevo cocido,1,pieza,50,44,68,5.5,4.7,0.5,0,73.9,0,0,0.5,0,22,13.6,0,54.6,186.6,0,0,0,0,0,0,AOAMG
Huevo entero cocido,1,pieza,50,44,68,5.5,4.7,0.5,0,73.9,0,0,0.5,0,22,13.6,0,54.6,186.6,0,0,0,0,0,0,AOAMG
Huevo rojo cocido,1,pieza,50,44,68,5.5,4.7,0.5,0,73.9,0,0,0.5,0,22,13.6,0,54.6,186.6,0,0,0,0,0,0,AOAMG
Huevo entero fresco,1,pieza,50,44,63,5.5,4.4,0.3,0,61.6,0,0,0.8,0,23.3,13.9,0,61.6,186.1,0,0,0,0,0,0,AOAMG
Huevo fresco,1,pieza,50,44,63,5.5,4.4,0.3,0,61.6,0,0,0.8,0,23.3,13.9,0,61.6,186.1,0,0,0,0,0,0,AOAMG
Camarón 16-20,2,pieza,50,40,42,8.1,0.7,0.4,0,21.6,0,0,1,0,20.7,15.2,0,59.3,60.7,0,0,0,0,0,0,AOAMBG
Camarón gigante,2,pieza,50,40,42,8.1,0.7,0.4,0,21.6,0,0,1,0,20.7,15.2,0,59.3,60.7,0,0,0,0,0,0,AOAMBG
Camarón U15,2,pieza,50,40,42,8.1,0.7,0.4,0,21.6,0,0,1,0,20.7,15.2,0,59.3,60.7,0,0,0,0,0,0,AOAMBG
Aguacate verde, 1/2,pieza,48,25,46,0.5,4.6,1.5,0,0,0,0,0,0,0,0,0,1,0,0.8,2,0.5,0,0,0,Aceites y grasas
Higago de ganso, 1/2,pieza,47,47,63,7.7,2,3,0,4375.2,0,0,14.3,0,20.2,32,0,65.8,242.1,0,0,0,0,0,0,AOABG
Chuleta de cerdo, 1/2,pieza,45,38,54,7.6,2.4,0,0,0.4,0,0,0.5,0,2.3,12.2,0,31.4,24.9,0,0,0,0,0,0,AOABG
Camarón crudo mediano,6,pieza,45,36,38,7.3,0.6,0.3,0,19.5,0,0,0.9,0,18.6,13.7,0,53.4,54.6,0,0,0,0,0,0,AOAMBG
Betabel crudo, 1/4,pieza,43,39,19,0.8,0.1,4.3,0.3,0.8,7.8,36.4,0.6,131,0,0,0,0,0,0,0,0,0,70,3.01,Verduras
Muslo de pollo con piel crudo con hueso, 1/3,pieza,43,34,72,5.9,5.2,0,0,13.9,0,0,0.3,0,3.4,4.4,0,25.8,28.5,0,0,0,0,0,0,AOAMG
Muslo de pollo con piel cocido con hueso, 1/3,pieza,43,33,76,7.6,4.8,0,0,14.3,0,0,0.4,0,3.6,7.7,0,23.1,27.4,0,0,0,0,0,0,AOAMG
Cangrejo,2,pieza,42,42,37,7.6,0.4,0,0,1,0,0,0.3,0,37.6,15.7,0,123,32.6,0,0,0,0,0,0,AOAMBG
Chuleta ahumada, 1/2,pieza,40,34,34,6.1,1,0.1,0,0,0,0,0.4,0,3,9.7,0,456.8,17.7,0,0,0,0,0,0,AOAMBG
Sardinas en tomate,1,pieza,38,38,71,7.9,4,0.3,0,12.2,0,0,0.9,0,91.2,15.4,0,157.3,23.2,0,0,0,0,0,0,AOAMG
Muffin de maíz, 1/3,pieza,37,37,115,2,3.2,19.1,1.3,0,0,12.4,1,0,27.5,0,0,194.3,0,0,0,0,2.8,49,9.359,Cereales con grasa
Pan tipo muffin de maíz, 1/3,pieza,37,37,115,2,3.2,19.1,1.3,0,0,12.4,1,0,27.5,0,0,194.3,0,0,0,0,2.8,49,9.359,Cereales con grasa
integral, 1/3,pieza,37,37,92,4,2.5,15.5,2,0,0,51.8,1.6,0,23.5,0,0,146.5,0,0,0,0,3.1,60,9.3,Cereales con grasa
Muffin integral, 1/3,pieza,37,37,92,2,2.5,15.5,2,0,0,51.8,1.6,0,23.5,0,0,146.5,0,0,0,0,3.1,60,9.3,Cereales con grasa
Sardinas en aceite,3,pieza,36,36,75,8.9,4.1,0,0,11.5,0,0,1.1,0,137.5,19,0,181.8,51.1,0,0,0,0,0,0,AOAMG
Camarón pacotilla,6,pieza,36,36,38,7.3,0.6,0.3,0,19.4,0,0,0.9,0,18.7,13.7,0,53.3,54.7,0,0,0,0,0,0,AOAMBG
Wafle con mantequilla,1,pieza,35,35,109,2.5,4,15.5,0.7,0,0,17.9,1.6,0,17.8,0,0,184.1,0,0,0,0,1,76,11.78,Cereales con grasa
Wafle,1,pieza,35,35,87,2,2.7,13.4,0.8,0,0,20,2,0,107.8,0,0,223.3,0,0,0,0,1.8,76,10.184,Cereales con grasa
Aceitunas rellenas de pimiento,7,pieza,35,35,44,0,3.5,2.6,0,0,0,0,0,0,0,0,0,306.3,0,0.9,2.6,0,0,0,0,Aceites y grasas
Camarón cocido,5,pieza,34,34,34,7.1,0.4,0,0,23.1,0,0,1.1,0,13.3,13.5,0,76.2,66.3,0,0,0,0,0,0,AOAMBG
Muffin de manzana, 2/3,pieza,33,33,113,1.3,5.3,15.3,0,0,0,13.3,0.5,0,13.3,0,0,146.7,0,0,0,0,11,44,6.732,Cereales con grasa
de manzana, 2/3,pieza,32,32,112,2,5.3,15.2,0,0,0,0,0.5,0,13.2,0,0,145.2,0,0,0,0,7.3,44,6.688,Cereales con grasa
Haba verde,4,pieza,32,32,23,1.8,0.2,3.7,1.3,5.8,10.6,30.7,0.6,80,0,0,0,0,0,0,0,0,0,55,2.035,Verduras
Wafle estilo casero,1,pieza,31,31,109,2.6,3.8,16,0.5,0,0,15.9,1.4,0,15.9,0,0,181.7,0,0,0,0,0.8,76,12.16,Cereales con grasa
Filete mignón, 1/4,pieza,30,30,36,7.2,0.8,0,0,41.7,0,0,0.5,0,2.7,5.7,0,18,14.1,0,0,0,0,0,0,AOAMBG
Filete tampiqueña, 1/4,pieza,30,30,36,7.2,0.8,0,0,41.7,0,0,0.5,0,2.7,5.7,0,18,14.1,0,0,0,0,0,0,AOAMBG
Medallón de filete, 1/4,pieza,30,30,36,7.2,0.8,0,0,41.7,0,0,0.5,0,2.7,5.7,0,18,14.1,0,0,0,0,0,0,AOAMBG
Tampiqueña, 1/4,pieza,30,30,36,7.2,0.8,0,0,41.7,0,0,0.5,0,2.7,5.7,0,18,14.1,0,0,0,0,0,0,AOAMBG
Tampiqueña de filete, 1/4,pieza,30,30,36,7.2,0.8,0,0,41.7,0,0,0.5,0,2.7,5.7,0,18,14.1,0,0,0,0,0,0,AOAMBG
Aceituna verde con hueso,6,pieza,30,25,46,0.3,5.1,0.8,0,0,0,0,0,0,0,0,0,604.8,0,0.5,3.8,0.3,0,0,0,Aceites y grasas
de plátano, 1/2,pieza,28,28,109,2,4.9,15.5,0.4,0,0,8,0.6,0,8,0,0,112,0,0,0,0,19.2,65,10.075,Cereales con grasa
Muffin de Blueberry, 1/4,pieza,28,28,104,2.2,2.4,18.1,1,0,0,20.6,0.4,0,13,0,0,95.8,0,0,0,0,9.3,59,10.679,Cereales con grasa
Tortilla de harina,1,pieza,28,28,80,1.9,1.9,13.4,0.1,0,0,0,0.3,0,19,0,0,214.8,0,0,0,0,0.1,30,4.02,Cereales con grasa
Orejas de cerdo, 1/4,pieza,28,28,66,6.3,4.3,0.2,0,0,0,0,0.7,0,5.9,1.2,0,54,23.2,0,0,0,0,0,0,AOAMG
Bagette, 1/7,pieza,27,27,72,2.2,1,13.4,0.6,0,0,9.7,0.8,0,29.2,0,0,145.8,0,0,0,0,1,95,12.73,Cereales sin grasa
Mazapán sin azúcar,1,pieza,25,25,73,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aceites y grasas con proteína
Orejones de chabacano,7,pieza,25,25,59,0.8,0.1,15.3,1.8,177.1,0.7,2.8,1.2,337.4,0,0,0,0,0,0,0,0,13.1,30,4.59,Frutas
Aceitunas rellenas de anchoa,5,pieza,25,25,46,0.6,4.5,0.8,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,Aceites y grasas
Aceituna negra sin hueso,5,pieza,25,25,46,0.3,5,0.8,0,0,0,0,0,0,0,0,0,600,0,0.5,3.8,0.3,0,0,0,Aceites y grasas
Anchoa con aceite,6,pieza,24,24,50,7,2.3,0,0,2.9,0,0,1.1,0,55.7,16.3,0,880.3,20.4,0,0,0,0,0,0,AOABG
Aceituna verde sin hueso,8,pieza,24,24,44,0.3,4.8,0.8,0,0,0,0,0,0,0,0,0,576,0,0.5,3.6,0.2,0,0,0,Aceites y grasas
Orejones de manzana,9,pieza,23,23,55,0.2,0.1,14.8,2,0,0.7,0,0.3,101.3,0,0,0,0,0,0,0,0,12.9,29,4.292,Frutas
Dona, 1/3,pieza,21,21,90,1,4.9,9.6,0.3,0,0,1.8,0.4,0,9.6,0,0,117.3,0,0,0,0,3.6,76,7.296,Cereales con grasa
Pasas,10,pieza,20,20,59,0.5,0.1,15.7,1.4,0,1,0.6,0.5,165,0,0,0,0,0,0,0,0,0,64,10.048,Frutas
Pasitas,10,pieza,20,20,59,0.5,0.1,15.7,1.4,0,1,0.6,0.5,165,0,0,0,0,0,0,0,0,0,64,10.048,Frutas
Chocolate con nugat y cacahuate, 1/3,pieza,19,19,90,1.4,4.5,11.5,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,9.6,41,5,Azúcares con grasa
Higo deshidratado,1,pieza,19,19,47,0.6,0.2,11.9,1.8,2.4,0.1,1.4,0.4,133.1,0,0,0,0,0,0,0,0,9,61,7.259,Frutas
Papas fritas,6,pieza,18,18,100,1.2,6.9,9.2,0.6,0,0,1.3,0.3,0,4.3,0,0,118.1,0,0,0,0,0.9,76,6.992,Cereales con grasa
Chocolate de leche, 2/3,pieza,17,17,88,1.3,4.9,9.8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,8.4,43,4,Azúcares con grasa
Dátil seco,2,pieza,17,17,46,0.3,0,12.4,1.1,0.8,0,2,0.2,108.2,0,0,0,0,0,0,0,0,11,103,12.772,Frutas
Cacahuate confitado,4,pieza,16,16,83,2.1,5.4,8,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,6,33,3,Azúcares con grasa
Mazapan Azteca Oreo, 1/2,pieza,15,15,75,1.5,3.5,9.5,0,0,0,0,0,0,0,0,0,9,0,0.5,0,0,0,0,0,Aceites y grasas con proteína
Cacahuate con piel,15,pieza,14,14,72,3.4,6.3,2.9,0,0,0,0,0,0,0,0,0,50.6,0,1.4,2.9,1.9,0,0,0,Aceites y grasas con proteína
Chocolate amargo, 1/3,pieza,14,14,70,0.7,4.4,8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,6.3,43,3,Azúcares con grasa
Cacahuate japonés,15,pieza,14,14,68,2.7,3.6,6.3,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,Aceites y grasas con proteína
Pistache tostado,18,pieza,13,13,74,2.6,6.2,3.2,0,0,0,0,0,0,0,0,0,0.9,0,0.8,4.2,0.9,0,0,0,Aceites y grasas con proteína
Pistache,18,pieza,13,13,73,2.6,6.3,2.5,0,0,0,0,0,0,0,0,0,86.4,0,0.8,3.1,1.9,0,0,0,Aceites y grasas con proteína
Nuez de la india tostada sin sal,8,pieza,13,13,73,1.9,5.9,4.2,0,0,0,0,0,0,0,0,0,2.3,0,1.2,3.5,1,0,0,0,Aceites y grasas con proteína
Avellana,9,pieza,13,13,72,2.5,6.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aceites y grasas con proteína
Cacahuate,14,pieza,12,12,73,2.9,6.2,2.7,0,0,0,0,0,0,0,0,0,100.6,0,0.9,3.1,1.9,0,0,0,Aceites y grasas con proteína
Almendra acaramelada,6,pieza,12,12,72,2.2,6,3.4,0,0,0,0,0,0,0,0,0,15.9,0,0.4,3.3,1.5,0,0,0,Aceites y grasas con proteína
Cacahuate salado,13,pieza,12,12,71,3.2,5.5,2.4,0,0,0,0,0,0,0,0,0,34,0,1,2.9,1.6,0,0,0,Aceites y grasas con proteína
Almendra ahumada,10,pieza,12,12,71,2.6,6.4,2.1,0,0,0,0,0,0,0,0,0,73.7,0,0,0,0,0,0,0,Aceites y grasas con proteína
Almendra deshidratada,10,pieza,12,12,71,2.4,6.3,2.4,0,0,0,0,0,0,0,0,0,1.3,0,0.6,4.1,1.3,0,0,0,Aceites y grasas con proteína
Cacahuate tostado,13,pieza,12,12,69,2.8,5.9,2.5,0,0,0,0,0,0,0,0,0,96.1,0,0.8,2.9,1.8,0,0,0,Aceites y grasas con proteína
Cacahuate enchilado,13,pieza,12,12,67,2.9,5.9,2.1,0,0,0,0,0,0,0,0,0,79.4,0,0.8,2.9,1.7,0,0,0,Aceites y grasas con proteína
Pepitas,60,pieza,12,12,66,3,5.6,2.1,0,0,0,0,0,0,0,0,0,2.1,0,1.1,1.7,2.5,0,0,0,Aceites y grasas con proteína
Almendra,10,pieza,12,12,66,2.7,6.6,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,4.3,1.3,0,0,0,Aceites y grasas con proteína
Paleta de caramelo,2,pieza,12,12,44,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,70,8,Azúcares sin grasa
Avellana tostada,8,pieza,11,11,75,1.1,7.5,2,0,0,0,0,0,0,0,0,0,0.4,0,0.6,5.9,0.7,0,0,0,Aceites y grasas con proteína
Avellana salada,8,pieza,11,11,72,1.8,7.1,1.6,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,Aceites y grasas con proteína
Nuez de la india con sal,7,pieza,11,11,66,1.9,5.2,2.7,0,0,0,0,0,0,0,0,0,32,0,1,3.2,1,0,0,0,Aceites y grasas con proteína
Mantequilla de cacahuate,2,pieza,11,11,63,2.6,5.3,2.3,0,0,0,0,0,0,0,0,0,52,0,1,2.5,1.5,0,0,0,Aceites y grasas con proteína
Cueritos de fruta, 1/2,pieza,11,11,39,0,0.3,9,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,5.2,99,9,Azúcares sin grasa
Nuez de macadamia deshidratada,4,pieza,10,10,73,0.9,7.7,1.4,0,0,0,0,0,0,0,0,0,0.4,0,1.1,6.1,0.1,0,0,0,Aceites y grasas con proteína
Mentas de caramelo,6,pieza,10,10,41,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,70,7,Azúcares sin grasa
Nuez,3,pieza,9,9,67,0.9,7,1.3,0,0,0,0,0,0,0,0,0,0.1,0,0.6,4.2,1.9,0,0,0,Aceites y grasas con proteína
Nuez de castilla,3,pieza,9,9,67,0.9,7,1.3,0,0,0,0,0,0,0,0,0,0.1,0,0.6,4.2,1.9,0,0,0,Aceites y grasas con proteína
Nuez deshidratada,3,pieza,9,9,67,0.9,7,1.3,0,0,0,0,0,0,0,0,0,0.1,0,0.6,4.2,1.9,0,0,0,Aceites y grasas con proteína
Nuez entera,3,pieza,9,9,67,0.9,7,1.3,0,0,0,0,0,0,0,0,0,0.1,0,0.6,4.2,1.9,0,0,0,Aceites y grasas con proteína
Nuez tostada,3,pieza,9,9,67,0.9,7,1.3,0,0,0,0,0,0,0,0,0,0.1,0,0.6,4.2,1.9,0,0,0,Aceites y grasas con proteína
Lunetas, 1/3,paquete (50),16,16,79,0.7,3.4,11.4,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,10.1,33,4,Azúcares con grasa
Nuez de la india sin sal en mitades,15,mitades,12,12,72,2.1,5.9,3.4,0,0,0,0,0,0,0,0,0,0,0,1.1,3.4,1.1,0,0,0,Aceites y grasas con proteína
Nuez en mitades,7,mitades,10,10,74,1,7.7,1.4,0,0,0,0,0,0,0,0,0,0.1,0,0.7,4.6,2.1,0,0,0,Aceites y grasas con proteína
Refresco, 1/4,lata,92,92,38,0,0,9.7,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,9.7,66,6,Azúcares sin grasa
Refresco de cola, 1/4,lata,92,92,38,0,0,9.7,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,9.7,58,6,Azúcares sin grasa
Atún en aceite drenado, 1/3,lata,33,33,66,9.7,2.7,0,0,7.7,0,0,0.5,0,4.3,25.3,0,118,10.3,0,0,0,0,0,0,AOABG
Atún blanco en agua (drenado), 1/3,lata,33,33,43,7.9,1,0,0,2,0,0,0.3,0,4.7,21.9,0,125.7,14.1,0,0,0,0,0,0,AOAMBG
Atún en agua drenado, 1/3,lata,33,33,39,8.5,0.3,0,0,5.7,0,0,0.5,0,3.7,26.8,0,112.7,10,0,0,0,0,0,0,AOAMBG
Atún light (drenado), 1/3,lata,33,33,39,8.5,0.3,0,0,5.7,0,0,0.5,0,3.7,26.8,0,112.7,10,0,0,0,0,0,0,AOAMBG
Retazo de carnero,500,g,500,50,56,7.1,2.8,0,0,0,0,0,1.1,0,8.5,19,0,37.5,32.5,0,0,0,0,0,0,AOABG
Cabeza de cerdo cocida,495,g,495,50,55,7,2.8,0,0,0,0,0,1,0,8.4,18.8,0,37.1,32.2,0,0,0,0,0,0,AOABG
Cabeza de cerdo,495,g,495,50,55,7,2.8,0,0,0,0,0,1,0,8.4,14.1,0,37.1,32.2,0,0,0,0,0,0,AOABG
Cabeza de pescado,400,g,400,40,40,8.2,0.5,0,0,12.2,0,0,0.1,0,12.7,5.6,0,25.4,14.6,0,0,0,0,0,0,AOAMBG
Retazo de pescado crudo,350,g,350,35,35,7.2,0.5,0,0,10.7,0,0,0.1,0,11.1,4.9,0,22.2,12.8,0,0,0,0,0,0,AOAMBG
Pomelo,260,g,260,153,58,0.9,0.2,14.7,0.3,0,93.6,18.4,0.2,331.3,0,0,0,0,0,0,0,0,0,25,3.675,Frutas
Bledos crudos,150,g,150,95,27,2.4,0.3,3.8,0.9,189.5,40.6,80.3,4.1,577.4,0,0,0,0,0,0,0,0,0,35,1.33,Verduras
Pata de cerdo cocidas,150,g,150,51,71,5.9,5.1,0,0,5.6,0,0,0.2,0,16.3,8.1,0,285.6,42.3,0,0,0,0,0,0,AOAMG
Patas de cerdo en escabeche,150,g,150,51,71,5.9,5.1,0,0,5.6,0,0,0.2,0,16.3,8.1,0,285.6,42.3,0,0,0,0,0,0,AOAMG
Patitas de cerdo curtidas sin hueso,150,g,150,51,71,5.9,5.1,0,0,5.6,0,0,0.2,0,16.3,8.1,0,285.6,42.3,0,0,0,0,0,0,AOAMG
Pescuezo de pollo sin piel,125,g,125,38,58,6.6,3.3,0,0,16.5,0,0,0.8,0,10.1,4.5,0,30.4,31.1,0,0,0,0,0,0,AOABG
Ostión enlatado,100,g,100,100,69,7.1,2.5,3.9,0,90.6,0,0,6.7,0,44.7,77.5,0,111.8,55.3,0,0,0,0,0,0,AOABG
Langosta,100,g,100,40,36,7.5,0.4,0.2,0,8.5,0,0,0.1,0,19.3,16.6,0,118.6,38,0,0,0,0,0,0,AOAMBG
Lenguado,90,g,90,45,34,7.5,0.5,0,0,4.5,0,0,0.4,0,5.4,6.3,0,35.1,20.7,0,0,0,0,0,0,AOAMBG
Fruto del pan,85,g,85,74,60,1,0.4,14.9,1.3,3,21.4,0,0.4,362.4,0,0,0,0,0,0,0,0,0,38,5.662,Frutas
Merluza,85,g,85,43,33,7.2,0.4,0,0,4.3,0,0,0.3,0,5.2,6.1,0,33.8,19.9,0,0,0,0,0,0,AOAMBG
Ostión crudo,75,g,75,75,61,7.1,1.7,3.7,0,60.9,0,0,3.8,0,6.2,57.8,0,79.4,37.5,0,0,0,0,0,0,AOABG
Carpa,75,g,75,41,51,7.2,2.3,0,0,3.8,0,0,0.5,0,16.7,5.7,0,20,26.7,0,0,0,0,0,0,AOABG
Jaiba cocida entera,75,g,75,40,34,7,0.5,0,0,263.3,0,0,0.3,0,17.4,5.7,0,16.6,31.5,0,0,0,0,0,0,AOAMBG
Pescado blanco,75,g,75,39,52,7.4,2.3,0,0,14.2,0,0,0.1,0,10.1,5.5,0,19.7,23.4,0,0,0,0,0,0,AOABG
Pescado en trozo,75,g,75,39,35,7.3,0.5,0,0,3.9,0,0,0.1,0,6.9,12.8,0,31.6,18.7,0,0,0,0,0,0,AOAMBG
Pescado entero,75,g,75,39,35,7.3,0.5,0,0,3.9,0,0,0.1,0,6.9,12.8,0,31.6,18.7,0,0,0,0,0,0,AOAMBG
Pescado rebanado,75,g,75,39,35,7.3,0.5,0,0,3.9,0,0,0.1,0,6.9,12.8,0,31.6,18.7,0,0,0,0,0,0,AOAMBG
Robalo crudo,75,g,75,38,33,7.2,0.3,0,0,6.5,0,0,0.4,0,12.6,11.6,0,26.1,21.8,0,0,0,0,0,0,AOAMBG
Ostión en jugo,70,g,70,70,57,6.6,1.6,3.5,0,56.8,0,0,3.6,0,5.8,53.9,0,74.1,35,0,0,0,0,0,0,AOABG
Guachinango,70,g,70,36,36,7.3,0.5,0,0,10.7,0,0,0.1,0,11.3,13.6,0,22.7,13.2,0,0,0,0,0,0,AOAMBG
Trucha,70,g,70,32,54,5.9,3.2,0,0,0,0,0,0.3,0,3.9,4.1,0,22.5,15.5,0,0,0,0,0,0,AOABG
Barbacoa con hueso,65,g,65,38,51,7.2,2.3,0,0,0,0,0,0.8,0,2.6,14.3,0,28.3,24.5,0,0,0,0,0,0,AOABG
Carnero con hueso,65,g,65,38,51,7.2,2.3,0,0,0,0,0,0.8,0,2.6,14.3,0,28.3,24.5,0,0,0,0,0,0,AOABG
Pámpano,65,g,65,33,55,6.2,3.1,0,0,0,0,0,0,0,5.5,11.9,0,15.3,16.3,0,0,0,0,0,0,AOABG
Carne de pato de crianza,60,g,60,39,51,7.1,2.3,0,0,9.4,0,0,0.9,0,4.3,5.4,0,28.9,30,0,0,0,0,0,0,AOABG
Pato de crianza,60,g,60,39,51,7.1,2.3,0,0,9.4,0,0,0.9,0,4.3,5.4,0,28.9,30,0,0,0,0,0,0,AOABG
Cazón,60,g,60,32,42,6.8,1.4,0,0,22.7,0,0,0.3,0,11.1,11.8,0,25.5,16.4,0,0,0,0,0,0,AOAMBG
Bonito,60,g,60,31,51,7.3,2.2,0,0,0,0,0,0.2,0,8,4.3,0,12.2,0,0,0,0,0,0,0,AOABG
Queso ricotta semidescremado,55,g,55,55,76,6.3,4.3,2.8,0,57.8,0,0,0.2,0,149.5,9.2,0,68.8,16.9,0,0,0,0,0,0,AOAMG
Pulmón de cerdo,55,g,55,48,41,6.7,1.3,0,0,0,0,0,9,0,3.3,8.5,0,73.2,153.1,0,0,0,0,0,0,AOAMBG
Pes espada crudo,55,g,55,36,43,7.1,1.4,0,0,13,0,0,0.3,0,1.3,17.2,0,32.2,13.9,0,0,0,0,0,0,AOAMBG
Pez espada crudo rebanado,55,g,55,36,43,7.1,1.4,0,0,13,0,0,0.3,0,1.3,17.2,0,32.2,13.9,0,0,0,0,0,0,AOAMBG
Gallinita de Guinea sin piel,55,g,55,35,38,7.2,0.9,0,0,4.2,0,0,0.3,0,3.8,6.1,0,23.9,21.8,0,0,0,0,0,0,AOAMBG
Barbacoa,50,g,50,40,54,7.6,2.4,0,0,0,0,0,0.9,0,2.8,15.2,0,30,26,0,0,0,0,0,0,AOABG
Carnero,50,g,50,40,54,7.6,2.4,0,0,0,0,0,0.9,0,2.8,15.2,0,30,26,0,0,0,0,0,0,AOABG
Maciza de carnero,50,g,50,40,54,7.6,2.4,0,0,0,0,0,0.9,0,2.8,15.2,0,30,26,0,0,0,0,0,0,AOABG
Pierna de carnero,50,g,50,40,54,7.6,2.4,0,0,0,0,0,0.9,0,2.8,15.2,0,30,26,0,0,0,0,0,0,AOABG
Sierra,50,g,50,38,78,7.3,5.2,0,0,50.6,0,0,0.4,0,1.9,5.3,0,0,30,0,0,0,0,0,0,AOAMG
Pecho de res,50,g,50,37,76,6.4,5.4,0,0,6.6,0,0,0.2,0,2.6,2.4,0,25.9,25.9,0,0,0,0,0,0,AOAMG
Costillar de cerdo,50,g,50,33,69,6.5,4.6,0,0,0.7,0,0,0.2,0,1.6,10.4,0,13.7,19.5,0,0,0,0,0,0,AOAMG
Costillitas de cerdo,50,g,50,33,69,6.5,4.6,0,0,0.7,0,0,0.2,0,1.6,10.4,0,13.7,19.5,0,0,0,0,0,0,AOAMG
Pescuezo de res,50,g,50,33,50,6.7,2.4,0,0,37.7,0,0,0.6,0,1.6,6.1,0,25.4,19.8,0,0,0,0,0,0,AOABG
